ID,AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y
,,,,,,,,,,,,,,,,,,,,
N1001,5.15,2.24,7.38,7.16,4.25,6.94,1.12,6.71,6.49,8.05,3.13,4.47,4.7,3.58,4.7,5.82,5.15,7.16,0.22,5.59
,,,,,,,,,,,,,,,,,,,,
N1010,12.44,0.25,7.87,8.38,3.81,8.88,2.03,5.33,8.12,9.64,2.28,3.3,3.81,0.51,5.08,2.79,3.3,9.64,0.51,2.03
,,,,,,,,,,,,,,,,,,,,
N1018,7.22,3.33,3.33,2.78,3.33,5,2.78,3.89,6.11,11.11,2.22,8.33,6.67,5.56,3.89,5.56,6.11,9.44,0,3.33
,,,,,,,,,,,,,,,,,,,,
N1022,13.27,0,4.21,8.41,2.59,6.47,1.29,2.91,11,9.71,0.65,3.88,3.56,5.18,1.94,6.15,4.85,8.41,1.29,4.21
,,,,,,,,,,,,,,,,,,,,
N1029,3.82,1.53,8.4,6.87,3.82,4.58,3.82,6.11,7.63,9.16,3.05,0.76,3.82,9.16,9.16,9.16,2.29,3.82,2.29,0.76
,,,,,,,,,,,,,,,,,,,,
N1033,9.42,4.86,7.29,4.86,4.86,7.29,2.74,2.43,8.21,8.81,1.52,3.65,5.17,3.65,3.65,6.38,3.65,6.38,0.91,4.26
,,,,,,,,,,,,,,,,,,,,
N1040,3.6,7.21,5.41,9.01,3.6,4.5,7.21,4.5,6.31,1.8,2.7,2.7,5.41,4.5,3.6,9.01,10.81,5.41,0,2.7
,,,,,,,,,,,,,,,,,,,,
N1043,4.86,0,4.45,10.93,3.24,4.45,0,11.74,6.88,11.74,2.02,5.67,3.64,1.62,8.5,8.91,2.43,4.86,0.4,3.64
,,,,,,,,,,,,,,,,,,,,
N1049,6.7,6.19,6.7,6.19,3.61,6.7,2.06,8.76,9.28,3.61,2.58,3.09,6.19,4.12,3.09,6.7,3.61,5.15,2.06,3.61
,,,,,,,,,,,,,,,,,,,,
N1054,6.6,3.3,2.83,4.72,1.89,13.21,0.94,5.66,4.72,5.19,0,6.13,4.72,4.72,5.66,6.13,3.77,8.49,2.36,8.96
,,,,,,,,,,,,,,,,,,,,
N1059,6.15,1.54,4.62,8.72,6.15,6.67,1.54,4.1,5.64,12.82,3.59,8.21,4.62,4.1,7.18,3.08,3.59,4.62,0.51,2.56
,,,,,,,,,,,,,,,,,,,,
N1064,6.9,0.69,5.52,8.28,7.59,4.83,6.9,1.38,5.52,8.28,0.69,1.38,6.21,4.83,6.9,5.52,4.83,11.72,0.69,1.38
,,,,,,,,,,,,,,,,,,,,
N1068,12.27,0.72,5.78,5.42,3.97,13,1.81,5.05,3.97,10.83,1.44,3.97,4.33,1.08,4.69,5.78,3.61,9.03,0.36,2.89
,,,,,,,,,,,,,,,,,,,,
N1074,5.34,1.53,8.4,6.11,4.58,8.4,0,6.11,10.69,4.58,3.05,3.05,0.76,1.53,5.34,6.87,8.4,12.21,1.53,1.53
,,,,,,,,,,,,,,,,,,,,
N1078,6.2,4.65,3.1,7.75,4.65,2.33,3.88,4.65,9.3,12.4,0.78,4.65,0.78,5.43,6.98,6.2,11.63,2.33,0.78,1.55
,,,,,,,,,,,,,,,,,,,,
N1082,10.85,1.55,9.3,7.75,3.1,12.4,0.78,4.65,12.4,4.65,3.1,3.88,4.65,3.1,0.78,1.55,6.2,5.43,1.55,2.33
,,,,,,,,,,,,,,,,,,,,
N1086,8.74,0.69,4.37,5.06,3.22,8.28,2.76,3.91,5.06,12.41,2.99,4.37,5.52,3.91,4.37,7.36,5.06,5.75,2.07,4.14
,,,,,,,,,,,,,,,,,,,,
N1095,2.71,0.78,4.65,8.91,5.43,7.36,3.1,4.65,4.26,11.63,3.88,3.88,6.2,3.88,5.81,7.36,5.04,6.59,0.39,3.49
,,,,,,,,,,,,,,,,,,,,
N1101,14.72,0,2.16,3.9,3.9,9.52,2.16,6.06,6.06,8.23,0.87,4.33,5.63,7.36,1.3,6.49,4.76,7.79,1.73,3.03
,,,,,,,,,,,,,,,,,,,,
N1106,4.92,2.46,6.15,7.38,3.38,6.15,2.15,6.77,7.69,6.77,2.46,5.85,2.46,3.38,4.31,9.54,6.15,7.69,0,4.31
,,,,,,,,,,,,,,,,,,,,
N1113,6.43,2,3.99,8.65,3.77,6.87,1.55,3.55,5.76,10.2,2.44,3.33,4.88,4.43,5.99,5.76,7.32,6.21,2,4.88
,,,,,,,,,,,,,,,,,,,,
N1122,4.78,1.47,6.62,6.62,4.41,6.62,3.31,6.99,6.62,9.19,2.94,2.94,9.56,2.57,5.88,4.41,4.41,6.62,0.74,3.31
,,,,,,,,,,,,,,,,,,,,
N1128,5.37,1.01,5.37,6.04,5.03,7.72,2.35,4.03,6.71,10.74,2.68,6.04,4.03,4.36,7.05,4.7,4.03,6.38,0.67,5.7
,,,,,,,,,,,,,,,,,,,,
N1134,6.34,0.98,5.85,8.29,5.85,6.83,0.98,6.83,6.34,8.29,1.46,3.9,5.85,0.98,7.32,6.83,1.95,11.22,0.49,3.41
,,,,,,,,,,,,,,,,,,,,
N1139,9.25,0,5.5,7.75,4.5,8.5,2.5,5.25,6.5,7.5,1.75,5.5,5,3.25,5.25,4.5,4,6.75,2,4.75
,,,,,,,,,,,,,,,,,,,,
N1147,1.59,0,3.97,10.32,4.76,9.52,1.59,7.14,13.49,4.76,5.56,4.76,1.59,3.17,1.59,4.76,9.52,9.52,0,2.38
,,,,,,,,,,,,,,,,,,,,
N1151,5.93,0,4.07,4.41,6.27,7.12,1.53,6.95,0.34,9.32,1.02,6.27,5.42,5.08,7.46,9.49,7.63,6.44,1.53,3.73
,,,,,,,,,,,,,,,,,,,,
N1162,8.06,0.54,5.91,8.06,5.91,6.99,0.54,5.91,10.22,6.45,1.08,4.3,3.76,2.15,3.76,10.22,5.38,6.99,0.54,3.23
,,,,,,,,,,,,,,,,,,,,
N1167,10.8,0.94,5.63,8.45,5.63,9.39,2.35,7.04,5.63,10.33,1.88,1.88,2.82,3.29,6.1,4.23,4.23,5.63,0,3.76
,,,,,,,,,,,,,,,,,,,,
N1172,7.12,0.93,9.29,6.81,3.41,6.81,2.17,7.43,8.05,10.84,1.55,2.17,1.86,3.41,5.88,7.74,6.19,4.02,0.62,3.72
,,,,,,,,,,,,,,,,,,,,
N1179,11.31,1.83,5.2,7.03,3.98,9.79,2.14,1.22,2.75,12.84,1.83,1.53,6.12,2.45,7.34,5.81,4.89,9.79,0.31,1.83
,,,,,,,,,,,,,,,,,,,,
N1186,14.65,0.73,7.69,5.86,4.03,11.72,3.66,5.86,4.4,8.79,3.3,2.56,1.1,2.2,5.49,4.76,5.13,6.96,0.37,0.73
,,,,,,,,,,,,,,,,,,,,
N1192,4.69,0.52,5.21,7.81,7.81,6.25,2.08,8.33,7.29,6.77,1.56,5.21,4.69,4.69,7.29,5.73,5.73,6.77,0,1.56
,,,,,,,,,,,,,,,,,,,,
N1197,6.67,1.9,4.76,9.21,3.81,4.13,2.54,6.03,9.21,10.16,1.27,3.81,6.35,5.4,3.17,5.08,5.08,6.35,1.59,3.49
,,,,,,,,,,,,,,,,,,,,
N1204,10.74,1.45,4.96,7.64,4.13,8.68,1.65,5.99,6.82,8.06,2.27,4.55,4.75,2.89,4.34,5.79,5.17,6.82,1.45,1.86
,,,,,,,,,,,,,,,,,,,,
N1214,10.86,1.28,6.07,7.67,0.96,8.95,1.6,6.07,2.56,13.42,1.92,3.51,5.11,3.19,8.63,5.11,3.19,7.67,0.64,1.6
,,,,,,,,,,,,,,,,,,,,
N1221,9.22,1.21,7.52,5.83,5.1,6.31,2.67,6.07,4.13,8.74,3.4,3.88,6.31,2.91,6.07,5.58,5.34,5.1,1.21,3.4
,,,,,,,,,,,,,,,,,,,,
N1229,6.69,1.59,5.73,8.6,4.14,8.28,1.59,5.1,10.83,7.64,4.14,3.5,5.41,2.23,2.87,5.1,4.78,6.05,1.91,3.82
,,,,,,,,,,,,,,,,,,,,
N1236,6.35,0.79,4.76,6.35,2.78,9.13,0.79,9.13,6.75,7.94,0.79,6.75,8.73,5.16,3.97,4.37,3.17,8.33,0,3.97
,,,,,,,,,,,,,,,,,,,,
N1242,8.32,0.92,7.02,5.55,5.18,8.69,1.66,4.99,6.28,8.5,2.03,4.99,4.99,2.77,4.25,4.81,8.32,5.91,1.66,3.14
,,,,,,,,,,,,,,,,,,,,
N1253,11.22,1.43,5.49,6.92,2.63,9.55,2.15,7.4,4.77,9.07,2.39,2.86,3.82,2.86,5.97,4.06,6.44,9.31,0.48,1.19
,,,,,,,,,,,,,,,,,,,,
N1261,4.82,1.2,7.53,6.33,3.61,4.82,3.61,5.72,8.43,10.84,2.41,5.12,3.92,3.61,6.33,3.31,2.71,7.53,1.51,6.63
,,,,,,,,,,,,,,,,,,,,
N1268,13.01,0.27,5.15,5.42,3.79,7.32,1.08,7.05,4.88,8.4,3.52,2.71,3.79,2.98,7.05,6.23,5.69,7.86,1.36,2.44
,,,,,,,,,,,,,,,,,,,,
N1276,11.2,2.32,5.79,4.25,1.93,8.49,0.39,0.77,4.63,17.37,1.93,3.86,4.25,5.79,5.02,8.11,3.86,6.95,0.77,2.32
,,,,,,,,,,,,,,,,,,,,
N1282,6.79,3.62,4.07,2.71,5.43,12.22,1.36,3.17,0.45,9.05,1.36,5.43,6.79,5.43,9.95,6.79,5.88,7.69,0.9,0.9
,,,,,,,,,,,,,,,,,,,,
N1287,6.38,1.01,5.37,5.7,5.37,5.37,3.36,5.37,7.05,13.09,1.68,2.68,6.38,3.02,5.37,4.7,5.7,7.72,1.34,3.36
,,,,,,,,,,,,,,,,,,,,
N1293,12.65,1.2,7.83,8.43,2.41,4.82,1.2,5.42,11.45,6.63,1.81,4.22,3.01,2.41,6.63,4.82,3.01,3.61,0,8.43
,,,,,,,,,,,,,,,,,,,,
N1297,9.14,1.27,4.82,8.63,3.05,8.63,2.28,4.57,3.05,11.68,1.52,1.02,4.31,3.81,9.64,4.82,5.08,7.11,1.52,4.06
,,,,,,,,,,,,,,,,,,,,
N1305,12.6,0.76,4.2,0.76,2.29,9.54,1.15,4.58,8.02,6.87,2.67,5.73,1.91,1.53,3.82,8.4,13.36,6.87,0.38,4.58
,,,,,,,,,,,,,,,,,,,,
N1311,9.49,0.73,4.38,6.2,5.84,5.47,2.92,4.38,2.55,12.41,2.19,4.01,3.28,4.74,9.85,6.2,4.38,5.84,1.09,4.01
,,,,,,,,,,,,,,,,,,,,
N1317,10.64,1.06,3.9,8.51,3.19,7.45,3.9,6.74,4.61,9.22,3.55,4.26,4.26,3.19,4.61,7.09,3.55,8.51,0.35,1.42
,,,,,,,,,,,,,,,,,,,,
N1323,8.11,2.16,5.95,3.24,1.62,11.35,2.7,7.57,9.73,3.78,1.62,4.86,2.16,4.86,5.41,5.41,7.03,5.95,1.62,4.86
,,,,,,,,,,,,,,,,,,,,
N1328,5.56,0,6.48,8.33,0.93,5.56,4.63,2.78,0.93,13.89,2.78,1.85,6.48,9.26,7.41,4.63,2.78,8.33,3.7,3.7
,,,,,,,,,,,,,,,,,,,,
N1331,3.24,1.08,7.03,5.95,1.62,9.73,2.7,1.62,8.11,10.27,0.54,2.7,8.65,3.78,4.32,7.03,4.86,8.65,2.7,5.41
,,,,,,,,,,,,,,,,,,,,
N1336,6.23,0.33,6.89,8.52,3.61,6.23,1.97,7.21,9.51,9.51,0.66,2.95,4.26,2.95,3.93,6.56,6.23,6.89,1.64,3.93
,,,,,,,,,,,,,,,,,,,,
N1343,11.26,0,4.64,9.27,3.97,6.62,7.95,5.96,12.58,11.92,1.32,0.66,2.65,2.65,2.65,3.97,3.31,5.3,1.32,1.99
,,,,,,,,,,,,,,,,,,,,
N1347,5.5,2.88,7.33,8.38,3.14,8.38,3.4,4.71,6.02,7.33,2.88,5.24,4.45,3.14,4.97,7.33,3.4,8.12,1.05,2.36
,,,,,,,,,,,,,,,,,,,,
N1355,7.52,1.77,7.96,9.29,5.31,4.87,1.33,6.64,8.41,7.96,3.1,2.65,4.42,3.98,4.42,3.1,4.42,8.85,0.44,3.54
,,,,,,,,,,,,,,,,,,,,
N1360,6.27,0,13.9,16.08,5.72,3.54,1.36,5.72,6.54,8.99,1.63,3.54,4.63,1.63,1.63,3.81,3,7.08,1.36,3.54
,,,,,,,,,,,,,,,,,,,,
N1368,12.38,0.95,4.76,8.57,3.81,6.67,4.76,3.81,7.62,3.81,4.76,1.9,6.67,0.95,1.9,2.86,7.62,11.43,0.95,3.81
,,,,,,,,,,,,,,,,,,,,
N1371,10.13,0.33,6.86,6.86,3.92,9.48,0.98,5.23,9.8,6.86,3.27,3.27,4.9,3.59,2.61,4.58,5.23,8.5,1.63,1.96
,,,,,,,,,,,,,,,,,,,,
N1378,3.31,1.45,9.32,5.8,5.59,6.83,2.48,7.04,7.04,9.32,1.86,8.28,4.55,1.86,1.45,10.35,3.93,4.35,1.66,3.52
,,,,,,,,,,,,,,,,,,,,
N1388,8.62,1.15,6.9,8.62,4.6,6.32,3.45,2.3,5.17,15.52,1.72,3.45,1.72,6.32,6.32,5.75,3.45,4.6,0.57,3.45
,,,,,,,,,,,,,,,,,,,,
N1392,8.98,0,7.76,5.31,4.49,6.53,2.86,3.67,8.16,4.9,2.04,7.76,2.86,4.08,3.27,4.49,6.12,5.71,3.67,7.35
,,,,,,,,,,,,,,,,,,,,
N1398,4.69,12.5,6.25,4.69,1.56,10.94,3.12,1.56,7.81,3.12,0,6.25,4.69,1.56,4.69,3.12,4.69,6.25,1.56,10.94
,,,,,,,,,,,,,,,,,,,,
N1401,9.35,1.13,6.8,2.27,2.27,10.48,1.7,6.23,6.23,4.53,0.85,9.35,3.4,1.98,2.55,7.08,9.35,7.65,1.98,4.82
,,,,,,,,,,,,,,,,,,,,
N1408,5.41,16.22,10.81,10.81,5.41,8.11,5.41,2.7,5.41,2.7,0,2.7,5.41,0,2.7,13.51,0,0,2.7,0
,,,,,,,,,,,,,,,,,,,,
N1410,8.64,0.31,5.56,5.25,4.01,6.17,3.4,6.79,4.63,8.64,2.16,2.47,4.63,3.7,5.86,6.79,7.72,8.95,0.62,3.7
,,,,,,,,,,,,,,,,,,,,
N1417,7.53,2.15,4.3,8.6,3.76,2.69,1.08,4.84,7.53,12.37,3.23,5.38,4.3,7.53,4.84,8.06,6.45,3.23,0.54,1.61
,,,,,,,,,,,,,,,,,,,,
N1422,8.22,2.05,1.37,4.11,4.79,8.22,2.74,4.11,4.79,9.59,0.68,4.79,4.11,7.53,3.42,11.64,6.85,6.85,0.68,3.42
,,,,,,,,,,,,,,,,,,,,
N1426,14.59,0,6.87,5.15,3.86,6.87,1.29,4.29,9.01,7.3,0.86,3,4.29,3.43,2.58,6.44,6.01,9.87,1.29,3
,,,,,,,,,,,,,,,,,,,,
N1431,13.15,1.59,3.19,5.98,2.39,6.37,2.39,7.57,6.77,6.77,1.2,4.38,3.98,5.18,3.19,5.18,6.37,9.96,1.99,2.39
,,,,,,,,,,,,,,,,,,,,
