ID,AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y
,,,,,,,,,,,,,,,,,,,,
D1001,9.42,0,7.97,9.42,0.72,7.25,2.17,5.07,4.35,17.39,4.35,2.9,5.07,2.17,2.9,6.52,4.35,7.25,0,0.72
,,,,,,,,,,,,,,,,,,,,
D1005,17.46,1.59,0,7.94,0,1.59,6.35,3.17,6.35,7.94,1.59,4.76,3.17,7.94,9.52,7.94,4.76,4.76,1.59,1.59
,,,,,,,,,,,,,,,,,,,,
D1008,6.9,6.9,6.9,3.45,3.45,3.45,6.9,6.9,0,3.45,0,0,6.9,0,20.69,10.34,6.9,3.45,0,3.45
,,,,,,,,,,,,,,,,,,,,
D1010,5.43,2.17,2.72,6.52,2.72,8.7,3.26,4.35,8.15,9.24,2.72,2.17,7.61,5.98,7.07,8.15,3.8,7.07,0,2.17
,,,,,,,,,,,,,,,,,,,,
D1015,6.17,4.94,2.47,3.09,2.47,11.73,6.79,3.7,2.47,8.64,0,6.17,8.02,4.94,4.32,3.09,6.79,8.64,3.09,2.47
,,,,,,,,,,,,,,,,,,,,
D1019,13.27,2.04,4.08,8.16,3.06,3.06,1.02,7.14,7.14,13.27,1.02,3.06,3.06,1.02,13.27,4.08,3.06,6.12,0,3.06
,,,,,,,,,,,,,,,,,,,,
D1022,11.58,0,3.16,11.58,1.05,5.26,0,5.26,10.53,10.53,0,2.11,3.16,1.05,9.47,4.21,5.26,11.58,0,4.21
,,,,,,,,,,,,,,,,,,,,
D1025,6.06,0,7.58,10.61,3.03,7.58,0,1.52,21.21,4.55,4.55,1.52,1.52,0,6.06,4.55,4.55,10.61,1.52,3.03
,,,,,,,,,,,,,,,,,,,,
D1028,6.8,2.72,4.08,4.08,5.44,11.56,2.04,4.08,4.76,9.52,2.04,2.72,8.16,2.72,6.8,4.76,6.8,7.48,1.36,2.04
,,,,,,,,,,,,,,,,,,,,
D1032,3.76,1.08,6.45,8.6,2.15,3.23,1.08,4.3,7.53,12.37,4.84,4.3,2.15,13.44,6.45,4.84,4.3,6.45,1.08,1.61
,,,,,,,,,,,,,,,,,,,,
D1037,4.33,2.76,3.54,5.91,4.33,6.3,1.97,5.91,7.48,10.24,2.76,7.09,4.33,3.94,3.54,5.91,7.09,7.87,2.76,1.97
,,,,,,,,,,,,,,,,,,,,
D1043,5.67,1.42,2.84,9.22,5.67,6.38,0.71,8.51,7.09,7.09,2.84,2.84,7.8,3.55,2.84,8.51,6.38,4.26,1.42,4.96
,,,,,,,,,,,,,,,,,,,,
D1047,1.85,0,5.56,9.26,1.85,5.56,5.56,9.26,7.41,11.11,1.85,1.85,1.85,3.7,5.56,14.81,3.7,1.85,3.7,3.7
,,,,,,,,,,,,,,,,,,,,
D1049,3.23,0,1.61,9.68,6.45,3.23,3.23,3.23,8.06,9.68,4.84,4.84,6.45,6.45,8.06,4.84,8.06,1.61,0,6.45
,,,,,,,,,,,,,,,,,,,,
D1052,3.7,1.23,1.23,7.41,7.41,7.41,1.23,9.88,7.41,11.11,2.47,2.47,6.17,2.47,6.17,4.94,2.47,9.88,0,4.94
,,,,,,,,,,,,,,,,,,,,
D1055,5.97,0,5.97,5.97,1.49,5.97,1.49,7.46,13.43,16.42,0,2.99,0,4.48,5.97,7.46,5.97,5.97,1.49,1.49
,,,,,,,,,,,,,,,,,,,,
D1058,7.32,1.22,4.88,7.32,2.44,4.88,2.44,6.1,10.98,7.32,3.66,8.54,1.22,2.44,6.1,7.32,3.66,7.32,1.22,3.66
,,,,,,,,,,,,,,,,,,,,
D1061,5.75,0.38,6.9,6.13,4.21,8.05,1.92,8.81,7.28,9.58,2.3,6.9,2.3,2.68,4.98,8.43,3.45,6.13,0.77,3.07
,,,,,,,,,,,,,,,,,,,,
D1067,5.58,0.51,5.58,8.12,5.58,7.61,2.54,5.58,8.12,9.64,0.51,6.09,4.57,3.55,4.57,3.55,4.57,6.09,3.05,4.57
,,,,,,,,,,,,,,,,,,,,
D1072,5.78,1.73,6.36,8.09,4.62,7.51,2.31,4.62,2.89,9.83,3.47,2.31,6.36,5.78,5.78,2.89,8.09,5.2,0.58,5.78
,,,,,,,,,,,,,,,,,,,,
D1076,4.88,14.63,2.44,7.32,0,0,0,2.44,24.39,7.32,0,4.88,7.32,2.44,7.32,7.32,2.44,0,2.44,2.44
,,,,,,,,,,,,,,,,,,,,
D1078,8.46,0.94,6.27,8.15,3.76,5.33,1.57,8.46,9.4,10.66,1.25,5.33,3.45,3.13,3.76,5.64,6.27,2.51,1.88,3.76
,,,,,,,,,,,,,,,,,,,,
D1085,5.86,1.85,5.56,4.94,5.86,7.41,2.47,8.95,8.64,7.41,1.85,6.79,5.25,4.01,4.94,5.56,2.16,4.63,1.23,4.63
,,,,,,,,,,,,,,,,,,,,
D1092,3.59,0,8.52,5.83,4.48,4.04,2.24,8.97,8.07,7.62,2.24,6.73,4.48,3.14,4.93,5.38,8.07,6.73,0.9,4.04
,,,,,,,,,,,,,,,,,,,,
D1097,3.01,0.33,7.36,5.35,3.68,7.36,1,7.69,6.02,10.37,3.01,5.69,7.02,4.68,5.35,6.35,4.68,5.35,1,4.68
,,,,,,,,,,,,,,,,,,,,
D1103,5.26,0,1.32,5.26,2.63,7.89,3.95,2.63,5.26,14.47,1.32,5.26,2.63,3.95,9.21,7.89,6.58,5.26,1.32,7.89
,,,,,,,,,,,,,,,,,,,,
D1106,1.33,12,4,4,5.33,6.67,2.67,4,9.33,1.33,2.67,6.67,1.33,5.33,9.33,8,2.67,8,0,5.33
,,,,,,,,,,,,,,,,,,,,
D1109,9.8,1.31,6.54,9.15,3.92,7.19,0.65,5.88,1.31,12.42,2.61,2.61,3.27,6.54,10.46,5.23,6.54,1.31,1.31,1.96
,,,,,,,,,,,,,,,,,,,,
D1113,5.33,0,5.33,10.67,8,6.67,0,2.67,10.67,14.67,2.67,5.33,2.67,5.33,4,6.67,5.33,1.33,1.33,1.33
,,,,,,,,,,,,,,,,,,,,
D1116,8.85,0.66,4.59,6.23,2.62,2.62,5.57,5.25,6.23,12.79,0.33,4.92,5.57,7.21,7.54,3.61,3.93,7.54,1.64,2.3
,,,,,,,,,,,,,,,,,,,,
D1123,4.23,2.82,5.63,5.63,5.63,2.82,0,8.45,12.68,9.86,4.23,4.23,0,4.23,7.04,5.63,7.04,4.23,0,5.63
,,,,,,,,,,,,,,,,,,,,
D1126,9.35,1.87,4.21,7.01,3.27,9.35,1.4,2.34,2.8,11.68,2.34,1.87,6.07,4.67,10.75,5.14,3.74,7.94,1.4,2.8
,,,,,,,,,,,,,,,,,,,,
D1131,9.45,0,4.73,14.18,1.82,6.55,0.73,1.82,3.27,16.73,0.36,0.36,5.45,2.18,14.91,2.18,3.27,6.91,0.36,4.73
,,,,,,,,,,,,,,,,,,,,
D1137,14.73,0,3.12,8.48,4.02,8.04,3.12,3.12,2.68,12.95,2.68,1.79,4.46,2.23,7.59,4.02,5.36,8.93,0,2.68
,,,,,,,,,,,,,,,,,,,,
D1142,13.01,0,3.42,10.27,7.53,8.22,0.68,0.68,2.74,17.81,1.37,1.37,7.53,2.74,8.22,4.11,3.42,3.42,0.68,2.74
,,,,,,,,,,,,,,,,,,,,
D1146,9.17,0.83,5,10.83,5,9.17,0.83,0.83,3.33,15.83,3.33,0,7.5,5,6.67,0.83,5.83,5.83,0,4.17
,,,,,,,,,,,,,,,,,,,,
D1149,7.27,1.82,6.36,5.45,2.73,3.64,2.73,1.82,5.45,11.82,4.55,5.45,3.64,4.55,11.82,7.27,1.82,6.36,3.64,1.82
,,,,,,,,,,,,,,,,,,,,
D1152,11.21,0.93,6.54,4.67,2.8,8.41,1.4,7.01,3.27,8.88,2.8,4.67,1.4,2.8,10.28,7.01,5.61,7.01,1.4,1.87
,,,,,,,,,,,,,,,,,,,,
D1157,10.14,1.05,5.24,6.64,3.15,5.59,2.45,7.69,3.5,11.19,1.05,7.34,3.5,3.85,6.99,6.99,4.9,5.24,0.7,2.8
,,,,,,,,,,,,,,,,,,,,
D1163,7.69,0,3.08,9.23,4.62,0,1.54,3.08,3.08,7.69,0,3.08,1.54,10.77,18.46,7.69,10.77,3.08,1.54,3.08
,,,,,,,,,,,,,,,,,,,,
D1166,6.25,2.34,3.12,5.47,6.25,2.34,1.56,10.16,8.59,9.38,1.56,3.12,4.69,6.25,3.12,8.59,7.81,3.91,1.56,3.91
,,,,,,,,,,,,,,,,,,,,
D1170,5.19,0.69,3.46,5.88,4.5,4.5,2.42,7.96,8.65,9.34,1.38,6.23,3.11,3.11,5.54,10.03,6.23,4.84,1.38,5.54
,,,,,,,,,,,,,,,,,,,,
D1176,7.63,0.25,3.56,9.16,5.85,7.89,3.31,2.8,6.62,11.2,1.27,1.27,7.89,1.27,6.87,3.82,4.07,8.65,3.05,3.56
,,,,,,,,,,,,,,,,,,,,
D1184,4.61,0.66,6.58,4.61,5.26,3.95,1.32,5.92,10.53,12.5,0,3.95,3.29,7.89,3.95,6.58,6.58,7.24,1.32,3.29
,,,,,,,,,,,,,,,,,,,,
D1188,6.25,0,3.75,8.75,2.5,2.5,3.75,2.5,13.75,6.25,6.25,3.75,6.25,2.5,15,5,3.75,2.5,2.5,2.5
,,,,,,,,,,,,,,,,,,,,
D1191,5.98,1.09,7.07,3.8,6.52,3.8,4.35,6.52,10.87,6.52,4.35,4.35,5.98,2.72,5.98,4.35,5.98,4.35,1.63,3.8
,,,,,,,,,,,,,,,,,,,,
D1196,5.97,2.99,5.22,11.94,6.72,6.72,0.75,3.73,4.48,6.72,1.49,2.99,4.48,7.46,11.19,4.48,2.99,5.22,2.24,2.24
,,,,,,,,,,,,,,,,,,,,
D1200,5.77,0,0,5.77,3.85,7.69,3.85,11.54,7.69,7.69,1.92,3.85,5.77,7.69,11.54,7.69,1.92,1.92,0,3.85
,,,,,,,,,,,,,,,,,,,,
D1202,6.06,1.52,1.52,9.09,3.03,4.55,0,9.09,9.09,7.58,1.52,4.55,6.06,3.03,15.15,7.58,6.06,3.03,0,1.52
,,,,,,,,,,,,,,,,,,,,
D1205,9.23,0,6.15,6.15,4.62,7.69,0,7.69,9.23,13.85,1.54,3.08,3.08,3.08,10.77,4.62,3.08,1.54,3.08,1.54
,,,,,,,,,,,,,,,,,,,,
D1208,5.21,6.25,5.21,2.08,6.25,5.21,3.12,8.33,15.62,1.04,1.04,7.29,1.04,1.04,5.21,12.5,4.17,4.17,2.08,3.12
,,,,,,,,,,,,,,,,,,,,
D1211,9.68,1.94,6.13,6.94,3.71,5.16,2.74,5.65,5.16,10,1.29,2.9,5.97,5.32,7.9,4.19,4.52,7.1,1.29,2.42
,,,,,,,,,,,,,,,,,,,,
D1223,8.51,0,2.13,8.51,1.06,2.13,5.32,1.06,8.51,9.57,2.13,4.26,4.26,11.7,5.32,4.26,7.45,8.51,2.13,3.19
,,,,,,,,,,,,,,,,,,,,
